FlexPDE Version 6.36s/W32  14:13:44 Jan  8 2015
(Times listed are wall-clock times, not charged CPU).

START E:\Class Materials\2022 Fall\Eng Phys 2CD4\Topic 2\Final version\Topic-2-2CD4-Group\New folder\group lab 2cd4 flex.pde  19:15:20 10/4/22
Using 1 Thread(s)
 +00:00:00| STEP FAILED. RETRY at Dt= 1.000e-4
 +00:00:00| Step 32 Time= 0.014475 Dt= 6.363e-4 Nodes=5 Cells=2 RMS ERR= 1.133e-6 MAX ERR= 1.133e-6 TIME ERR= 0.002312 MEM=709
 +00:00:00| Step 33 Time= 0.015112 Dt= 6.363e-4 Nodes=5 Cells=2 RMS ERR= 1.018e-6 MAX ERR= 1.018e-6 TIME ERR= 0.002387 MEM=709
 +00:00:00| Step 34 Time= 0.015712 Dt= 5.999e-4 Nodes=5 Cells=2 RMS ERR= 7.405e-7 MAX ERR= 7.405e-7 TIME ERR= 0.002107 MEM=709
 +00:00:00| Step 35 Time= 0.016312 Dt= 5.999e-4 Nodes=5 Cells=2 RMS ERR= 6.232e-7 MAX ERR= 6.232e-7 TIME ERR= 0.002183 MEM=709
 +00:00:00| Step 36 Time= 0.016911 Dt= 5.999e-4 Nodes=5 Cells=2 RMS ERR= 5.213e-7 MAX ERR= 5.213e-7 TIME ERR= 0.002201 MEM=709
 +00:00:00| Step 37 Time= 0.017511 Dt= 5.999e-4 Nodes=5 Cells=2 RMS ERR= 4.461e-7 MAX ERR= 4.461e-7 TIME ERR= 0.002236 MEM=709
 +00:00:00| Step 38 Time= 0.018111 Dt= 5.999e-4 Nodes=5 Cells=2 RMS ERR= 3.726e-7 MAX ERR= 3.726e-7 TIME ERR= 0.002272 MEM=709
 +00:00:00| Step 39 Time= 0.018711 Dt= 5.999e-4 Nodes=5 Cells=2 RMS ERR= 3.010e-7 MAX ERR= 3.010e-7 TIME ERR= 0.002303 MEM=709
 +00:00:00| Step 40 Time= 0.019311 Dt= 5.999e-4 Nodes=5 Cells=2 RMS ERR= 2.316e-7 MAX ERR= 2.316e-7 TIME ERR= 0.002327 MEM=709
 +00:00:00| Step 41 Time= 0.019911 Dt= 5.999e-4 Nodes=5 Cells=2 RMS ERR= 1.646e-7 MAX ERR= 1.646e-7 TIME ERR= 0.002343 MEM=709
